Step,AgentID,Wealth
1,1,1
1,2,1
1,3,1
1,4,1
1,5,1
1,6,1
1,7,1
1,8,1
1,9,1
1,10,1
1,11,1
1,12,1
1,13,1
1,14,1
1,15,1
1,16,1
1,17,1
1,18,1
1,19,1
1,20,1
1,21,1
1,22,1
1,23,1
1,24,1
1,25,1
1,26,1
1,27,1
1,28,1
1,29,1
1,30,1
1,31,1
1,32,1
1,33,1
1,34,1
1,35,1
1,36,1
1,37,1
1,38,1
1,39,1
1,40,1
1,41,1
1,42,1
1,43,1
1,44,1
1,45,1
1,46,1
1,47,1
1,48,1
1,49,1
1,50,1
1,51,1
1,52,1
1,53,1
1,54,1
1,55,1
1,56,1
1,57,1
1,58,1
1,59,1
1,60,1
1,61,1
1,62,1
1,63,1
1,64,1
1,65,1
1,66,1
1,67,1
1,68,1
1,69,1
1,70,1
1,71,1
1,72,1
1,73,1
1,74,1
1,75,1
1,76,1
1,77,1
1,78,1
1,79,1
1,80,1
1,81,1
1,82,1
1,83,1
1,84,1
1,85,1
1,86,1
1,87,1
1,88,1
1,89,1
1,90,1
1,91,1
1,92,1
1,93,1
1,94,1
1,95,1
1,96,1
1,97,1
1,98,1
1,99,1
1,100,1
2,1,1
2,2,1
2,3,1
2,4,1
2,5,1
2,6,1
2,7,1
2,8,1
2,9,2
2,10,1
2,11,1
2,12,1
2,13,1
2,14,1
2,15,1
2,16,1
2,17,1
2,18,1
2,19,0
2,20,1
2,21,1
2,22,1
2,23,1
2,24,1
2,25,1
2,26,2
2,27,2
2,28,1
2,29,1
2,30,1
2,31,1
2,32,1
2,33,1
2,34,1
2,35,1
2,36,1
2,37,1
2,38,1
2,39,2
2,40,1
2,41,1
2,42,1
2,43,1
2,44,1
2,45,0
2,46,1
2,47,1
2,48,1
2,49,1
2,50,2
2,51,1
2,52,1
2,53,1
2,54,0
2,55,1
2,56,1
2,57,1
2,58,1
2,59,1
2,60,1
2,61,1
2,62,1
2,63,0
2,64,1
2,65,1
2,66,1
2,67,1
2,68,1
2,69,1
2,70,1
2,71,1
2,72,0
2,73,1
2,74,1
2,75,1
2,76,1
2,77,1
2,78,1
2,79,1
2,80,1
2,81,1
2,82,1
2,83,1
2,84,1
2,85,2
2,86,0
2,87,1
2,88,1
2,89,0
2,90,2
2,91,1
2,92,1
2,93,1
2,94,0
2,95,1
2,96,1
2,97,1
2,98,1
2,99,1
2,100,2
3,1,1
3,2,1
3,3,1
3,4,1
3,5,1
3,6,1
3,7,1
3,8,1
3,9,2
3,10,1
3,11,1
3,12,1
3,13,1
3,14,1
3,15,1
3,16,1
3,17,1
3,18,1
3,19,0
3,20,1
3,21,1
3,22,0
3,23,1
3,24,1
3,25,1
3,26,2
3,27,1
3,28,1
3,29,1
3,30,1
3,31,1
3,32,1
3,33,1
3,34,1
3,35,1
3,36,1
3,37,1
3,38,2
3,39,2
3,40,1
3,41,1
3,42,1
3,43,1
3,44,1
3,45,0
3,46,1
3,47,1
3,48,1
3,49,1
3,50,2
3,51,0
3,52,1
3,53,1
3,54,0
3,55,1
3,56,1
3,57,1
3,58,1
3,59,1
3,60,1
3,61,1
3,62,1
3,63,0
3,64,1
3,65,1
3,66,1
3,67,1
3,68,1
3,69,1
3,70,1
3,71,1
3,72,0
3,73,1
3,74,1
3,75,1
3,76,2
3,77,1
3,78,1
3,79,2
3,80,2
3,81,1
3,82,1
3,83,1
3,84,1
3,85,2
3,86,1
3,87,1
3,88,1
3,89,0
3,90,1
3,91,1
3,92,1
3,93,1
3,94,0
3,95,0
3,96,1
3,97,1
