,Gini
0,0.0
1,0.1472
2,0.18000000000000005
3,0.31820000000000004
4,0.3588
5,0.4696
6,0.4858
7,0.5226
8,0.5334
9,0.5884
10,0.6008
11,0.6854
12,0.7210000000000001
13,0.7256
14,0.7536
15,0.7532000000000001
16,0.761
17,0.7886
18,0.8
19,0.8314
20,0.8516
21,0.8468
22,0.8942
23,0.9454
24,0.9844
25,1.0134
26,1.02
27,1.0472
28,1.064
29,1.064
30,1.0904
31,1.1316
32,1.1652
33,1.1878
34,1.1682000000000001
35,1.1774
36,1.1486
37,1.1718
38,1.1988
39,1.2278
40,1.2124
41,1.2610000000000001
42,1.2454
43,1.2446
44,1.2702
45,1.2792
46,1.3264
47,1.3508
48,1.3906
49,1.404
50,1.3902
51,1.4306
52,1.431
53,1.4346
54,1.436
55,1.4528
56,1.4434
57,1.4646
58,1.5016
59,1.522
60,1.5173999999999999
61,1.5718
62,1.5854
63,1.6046
64,1.6282
65,1.6414
66,1.667
67,1.659
68,1.6872
69,1.7212
70,1.7786
71,1.7786
72,1.7784
73,1.787
74,1.7814
75,1.7953999999999999
76,1.7848000000000002
77,1.7894
78,1.7816
79,1.8002
80,1.7988
81,1.8136
82,1.8636
83,1.8582
84,1.8672
85,1.8624
86,1.8458
87,1.8898000000000001
88,1.9202
89,1.9282
90,1.937
91,1.9689999999999999
92,1.9994
93,1.9844
94,2.0048
95,2.0023999999999997
96,2.0238
97,2.05
98,2.0606
99,2.028
