,ActiveFires,Step,TotalDrones,TotalPlanes,TotalEmissions,DroneEmissions,PlaneEmissions,Cost,DroneCost,PlaneCost,TotalCoverage,TotalWater
0,50,0,30,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,50,1,30,4,7.73689925,3.0014062499999996,4.735493,20.595375000000004,3.450375000000002,17.145,1.6e-05,0
2,49,2,30,4,1680.30695475,6.004218750000004,1674.3027359999999,454.341921875,6.901921875000004,447.44000000000005,3.2e-05,8328
3,47,3,30,4,1688.0394308538641,8.906937499999998,1679.1324933538642,475.32637086541285,10.21344375,465.11292711541284,4.705882352941178e-05,8348
4,47,4,30,4,1694.922554874395,11.984637499999995,1682.937917374395,492.1799283974924,13.727407499999995,478.45252089749243,6.258823529411766e-05,8348
5,45,5,30,4,5031.65033722826,14.987412500000007,5016.66292472826,1336.3543817629054,17.17893375,1319.1754480129055,7.85882352941177e-05,25004
6,44,6,30,4,6704.119023289852,17.9901875,6686.128835789852,1770.059689359144,20.630460000000017,1749.4292293591438,9.411764705882358e-05,33332
7,43,7,30,4,6711.031936205308,20.942925000000002,6690.0890112053075,1787.8229140707952,24.011976250000014,1763.810937820795,0.00010870588235294121,33342
8,42,8,30,4,8382.804686620766,23.92375000000002,8358.880936620766,2218.7595450324466,27.41689875000001,2191.3426462824464,0.00012376470588235295,41670
9,37,9,30,4,12024.49119097342,26.80448125000002,11997.686709723419,3137.467411442844,30.681796250000005,3106.785615192844,0.0001378823529411765,59874
10,36,10,30,4,12032.117752701073,29.810146875000008,12002.307605826074,3158.4527072282417,34.079123125,3124.3735841032417,0.00015247058823529417,59884
11,35,11,30,4,12344.46058838706,32.828378125,12311.63221026206,3252.085119784472,37.515233437500015,3214.5698863469725,0.00016752941176470586,61412
12,32,12,30,4,12351.521790240318,35.65900625000003,12315.862783990318,3271.240421859877,40.71008750000002,3230.5303343598775,0.0001816470588235295,61442
13,31,13,30,4,14328.637005635246,38.752106250000026,14289.884899385244,3777.5410534144494,44.208604375000036,3733.3324490394493,0.0001967058823529411,71298
14,31,14,30,4,14336.192442176307,41.732818750000014,14294.459623426304,3798.5151016036084,47.61346500000004,3750.9016366036085,0.00021176470588235298,71298
15,30,15,30,4,14343.697831842368,44.663484375,14299.034347467368,3819.4191372927676,50.948313125000034,3768.470824167767,0.0002263529411764705,71308
16,30,16,30,4,14350.522462133427,47.681640625000014,14302.840821508427,3837.174393919426,54.38438218750003,3782.7900117319264,0.00024141176470588246,71308
17,27,17,30,4,14356.775383049488,50.5122125,14306.26317054949,3853.0633992960857,57.57920000000003,3795.4841992960855,0.00025505882352941167,71338
18,26,18,30,4,14452.633473757218,53.43641250000006,14399.197061257219,3881.256094776911,60.85204125000002,3820.404053526911,0.000268235294117647,71348
19,26,19,30,4,14639.409564664948,56.35123750000004,14583.058327164945,3927.6279777577365,64.11707000000003,3863.5109077577363,0.0002809411764705884,71348
