,ActiveFires,Step,TotalDrones,TotalPlanes,TotalEmissions,DroneEmissions,PlaneEmissions,Cost,DroneCost,PlaneCost,TotalCoverage,TotalWater
0,50,0,0,6,0.0,0,0.0,0.0,0,0.0,0.0,0
1,50,1,0,6,6.783135333333334,0,6.783135333333334,24.363333333333333,0,24.363333333333333,1.6e-05,0
2,49,2,0,6,1678.7821456666666,0,1678.7821456666666,463.5016666666668,0,463.5016666666668,3.2e-05,8328
3,49,3,0,6,1686.0436703538642,0,1686.0436703538642,490.0179271154129,0,490.0179271154129,4.8e-05,8328
4,49,4,0,6,1692.408903374395,0,1692.408903374395,512.7425208974923,0,512.7425208974923,6.4e-05,8328
5,47,5,0,6,5029.07784472826,0,5029.07784472826,1364.4754480129054,0,1364.4754480129054,8e-05,24984
6,47,6,0,6,5036.271814789852,0,5036.271814789852,1390.9642293591437,0,1390.9642293591437,9.6e-05,24984
7,45,7,0,6,8372.104951518111,0,8372.104951518111,2239.419677372049,0,2239.419677372049,0.000112,41640
8,43,8,0,6,10347.486408620765,0,10347.486408620765,2746.222646282447,0,2746.222646282447,0.0001253333333333333,51496
9,41,9,0,6,13683.596141036222,0,13683.596141036222,3596.259354744098,0,3596.259354744098,0.00014133333333333334,68152
10,39,10,0,6,17019.638318826073,0,17019.638318826073,4446.268584103242,0,4446.268584103242,0.00015733333333333333,84808
11,38,11,0,6,17331.293358656985,0,17331.293358656985,4545.267001026545,0,4545.267001026545,0.0001733333333333333,86336
12,39,12,0,6,17337.98240944684,0,17337.98240944684,4570.571230385688,0,4570.571230385688,0.00018933333333333332,86336
13,38,13,0,6,17648.991043570022,0,17648.991043570022,4666.858793078165,0,4666.858793078165,0.00020533333333333333,87864
14,37,14,0,6,19625.33739698548,0,19625.33739698548,5178.460501539816,0,5178.460501539816,0.00022133333333333334,97720
15,37,15,0,6,19631.596150713733,0,19631.596150713733,5202.120949552721,0,5202.120949552721,0.00023733333333333332,97720
16,36,16,0,6,21302.430571108664,0,21302.430571108664,5637.848064232293,0,5637.848064232293,0.00025333333333333333,106048
17,35,17,0,6,21613.87142252412,0,21613.87142252412,5736.269772693945,0,5736.269772693945,0.0002693333333333334,107576
18,35,18,0,6,21619.834118231847,0,21619.834118231847,5758.8306269247705,0,5758.8306269247705,0.0002826666666666667,107576
19,35,19,0,6,21716.716813939573,0,21716.716813939573,5799.575481155595,0,5799.575481155595,0.00029600000000000004,107576
20,35,20,0,6,21813.6068848473,0,21813.6068848473,5840.323335386422,0,5840.323335386422,0.00030933333333333334,107576
21,35,21,0,6,21910.12020595503,0,21910.12020595503,5879.449189617247,0,5879.449189617247,0.00032266666666666663,107576
22,35,22,0,6,22005.36048559609,0,22005.36048559609,5913.161377181405,0,5913.161377181405,0.0003333333333333333,107576
23,36,23,0,6,22191.27205710382,0,22191.27205710382,5963.977231412232,0,5963.977231412232,0.0003413333333333334,107576
24,36,24,0,6,22467.478170678216,0,22467.478170678216,6030.274752309723,0,6030.274752309723,0.0003466666666666667,107576
25,36,25,0,6,22742.93815985261,0,22742.93815985261,6093.331273207216,0,6093.331273207216,0.0003546666666666667,107576
26,35,26,0,6,23323.76419129367,0,23323.76419129367,6231.713460771374,0,6231.713460771374,0.0003626666666666667,109104
27,36,27,0,6,23599.006150960337,0,23599.006150960337,6293.70212743804,0,6293.70212743804,0.00037066666666666666,109104
28,36,28,0,6,23876.06281956034,0,23876.06281956034,6363.283127438041,0,6363.283127438041,0.0003786666666666667,109104
29,36,29,0,6,24063.117905427003,0,24063.117905427003,6418.480794104708,0,6418.480794104708,0.00038933333333333333,109104
30,36,30,0,6,24250.187741693666,0,24250.187741693666,6473.684460771375,0,6473.684460771375,0.00039999999999999996,109104
31,36,31,0,6,24437.272328360334,0,24437.272328360334,6528.894127438041,0,6528.894127438041,0.00041066666666666666,109104
32,36,32,0,6,24624.11558209367,0,24624.11558209367,6583.026460771375,0,6583.026460771375,0.0004213333333333333,109104
33,37,33,0,6,24719.79750289367,0,24719.79750289367,6617.897460771374,0,6617.897460771374,0.00043199999999999993,109104
34,36,34,0,6,26481.08679889367,0,26481.08679889367,7069.171460771376,0,7069.171460771376,0.00044533333333333333,117432
35,35,35,0,6,28242.861859447534,0,28242.861859447534,7522.601387886789,0,7522.601387886789,0.0004586666666666667,125760
36,35,36,0,6,28339.90680955526,0,28339.90680955526,7563.4122421176135,0,7563.4122421176135,0.00047200000000000003,125760
37,35,37,0,6,28436.95913486299,0,28436.95913486299,7604.2260963484405,0,7604.2260963484405,0.00048533333333333333,125760
38,34,38,0,6,30198.210377037383,0,30198.210377037383,8055.484617245933,0,8055.484617245933,0.0004986666666666667,134088
39,34,39,0,6,31958.538925432313,0,31958.538925432313,8502.940731925504,0,8502.940731925504,0.000512,142416
40,33,40,0,6,34024.9532383811,0,34024.9532383811,9028.95277372049,0,9028.95277372049,0.0005253333333333333,152272
41,33,41,0,6,34121.15928517603,0,34121.15928517603,9066.48488840006,0,9066.48488840006,0.0005386666666666666,152272
